cod_ibge,uf,qnt_produzida
2210003,PI,142.79999999999998
3302056,RJ,255.0
3302205,RJ,115.6
3300159,RJ,68.0
3302106,RJ,89.25
3304706,RJ,170.0
3301009,RJ,221.0
3304805,RJ,323.0
3304755,RJ,510.0
3305000,RJ,1739.1
3300936,RJ,25.5
3301405,RJ,8.5
3302403,RJ,8.5
3304151,RJ,9401.0
3306008,RJ,0.85
3304607,RJ,42.5
3305307,RJ,17.0
3301306,RJ,51.0
3305604,RJ,238.0
3300209,RJ,1170.45
3300233,RJ,12.75
3300704,RJ,85.85
3305208,RJ,102.0
3305505,RJ,735.25
3306305,RJ,15.299999999999999
3303609,RJ,23.8
3300803,RJ,536.35
3304300,RJ,773.5
3302007,RJ,971.55
3302601,RJ,47.6
3305554,RJ,1309.0
3301702,RJ,128.35
3301850,RJ,136.0
3301900,RJ,33.15
3302270,RJ,496.4
3302502,RJ,114.75
3302700,RJ,146.2
3303500,RJ,277.95
3304557,RJ,4275.5
3304904,RJ,236.29999999999998
3305752,RJ,300.9
2700102,AL,146.2
2701605,AL,3.4
2703304,AL,6.8
2706422,AL,44.199999999999996
2702405,AL,39.949999999999996
2708402,AL,34.0
2705705,AL,10.2
2700805,AL,51.0
2703106,AL,10.2
2704807,AL,216.75
2709004,AL,25.5
2700300,AL,38.25
2701506,AL,20.4
2702009,AL,25.5
2702603,AL,51.0
2702900,AL,38.25
2704203,AL,301.75
2708808,AL,1753.55
2709103,AL,82.45
2705903,AL,4.25
2708204,AL,49.3
2701902,AL,8.5
2703007,AL,29.75
2708105,AL,612.0
2708303,AL,68.0
2709301,AL,122.39999999999999
2700409,AL,25.5
2701100,AL,170.0
2701308,AL,21.25
2701357,AL,67.14999999999999
2701704,AL,59.5
2702108,AL,34.0
2702801,AL,127.5
2703502,AL,541.4499999999999
2703809,AL,238.0
2703908,AL,60.35
2705101,AL,350.2
2705507,AL,367.2
2705606,AL,348.5
2707305,AL,881.4499999999999
2708501,AL,578.0
2703601,AL,3475.65
2704500,AL,13515.0
2706505,AL,2040.0
2707404,AL,4182.0
2708709,AL,3038.75
2700508,AL,1776.5
2700607,AL,386.75
2702207,AL,905.25
2704302,AL,1615.0
2704708,AL,1633.7
2706448,AL,990.25
2706901,AL,340.0
2707701,AL,15.299999999999999
2707909,AL,552.5
2700201,AL,128.35
2701001,AL,510.84999999999997
2701407,AL,137.7
2702306,AL,15355.25
2703759,AL,6059.65
2704005,AL,626.4499999999999
2707800,AL,4084.25
2709152,AL,150.45
2702702,AL,5122.95
2703205,AL,153.0
2706703,AL,749.6999999999999
2706802,AL,9349.15
2707503,AL,112.2
2401107,RN,197.2
2401453,RN,76.5
2404408,RN,3.4
2408003,RN,45.9
2401008,RN,43.35
2400208,RN,51.0
2400703,RN,6273.0
2400406,RN,15.299999999999999
2402907,RN,24.65
2403202,RN,6.8
2403301,RN,6.8
2407005,RN,11.049999999999999
2407252,RN,10.2
2410801,RN,3.4
2412500,RN,6.8
2414753,RN,3.4
2403905,RN,3.4
2409407,RN,13.6
2410207,RN,3.4
2410504,RN,3.4
2411908,RN,6.8
2413805,RN,6.8
2414100,RN,3.4
2400901,RN,6.8
2404002,RN,3.4
2406908,RN,6.8
2407401,RN,2.55
2410603,RN,9.35
2413557,RN,5.1
2414506,RN,7.6499999999999995
2401859,RN,25.5
2404101,RN,680.0
2402709,RN,20.4
2406502,RN,13.6
2414159,RN,7.6499999999999995
2402006,RN,2.55
2404804,RN,2.55
2405603,RN,5.95
2412104,RN,11.9
2413409,RN,15.299999999999999
2414308,RN,2.55
2402402,RN,10.2
2403103,RN,51.0
2403400,RN,14.45
2408904,RN,20.4
2405801,RN,217.6
2410108,RN,58.65
2401503,RN,10.2
2406403,RN,5.95
2407906,RN,3.4
2411106,RN,13.6
2412302,RN,5.1
2412906,RN,34.85
2413300,RN,10.2
2413706,RN,21.25
2414001,RN,17.0
2401701,RN,8.5
2401800,RN,170.0
2404606,RN,61.199999999999996
2405306,RN,18.7
2406205,RN,17.0
2406304,RN,76.5
2407807,RN,76.5
2408300,RN,51.0
2409100,RN,5.1
2410306,RN,9.35
2410900,RN,8.5
2409332,RN,3.4
2411502,RN,19.55
2412609,RN,17.0
2412708,RN,15.299999999999999
2413102,RN,3.4
2414803,RN,1273.3
2407500,RN,2975.0
2409506,RN,21.25
2410405,RN,602.65
2408953,RN,1840.25
2414407,RN,16447.5
2402600,RN,8658.1
2407104,RN,425.0
2408201,RN,5939.8
2412005,RN,518.5
2412203,RN,1620.95
2403608,RN,306.0
2403251,RN,341.7
2401206,RN,645.15
2401404,RN,2820.2999999999997
2402204,RN,1275.0
2403509,RN,68.0
2404200,RN,632.4
2407708,RN,77.35
2409803,RN,773.5
2413201,RN,301.75
2414209,RN,1275.0
1100700,RO,10.2
1100809,RO,86.7
1100940,RO,20.4
1101104,RO,8.5
1100338,RO,44.199999999999996
1100205,RO,690.1999999999999
1100106,RO,21.25
1100403,RO,42.5
1100023,RO,47.6
1100601,RO,53.55
1100130,RO,21.25
1101401,RO,107.95
1101005,RO,17.0
1100114,RO,17.0
1100122,RO,42.5
1101302,RO,20.4
1100155,RO,21.25
1101559,RO,29.75
1101807,RO,20.4
1100148,RO,21.25
1100015,RO,43.35
1100379,RO,11.049999999999999
1100049,RO,80.75
1100098,RO,25.5
1100288,RO,68.0
1100296,RO,0.85
1100924,RO,2.55
1101450,RO,4.25
1100189,RO,95.2
1100031,RO,34.0
1100056,RO,51.0
1100064,RO,18.7
1100072,RO,17.0
1101468,RO,29.75
1400407,RR,102.0
1400233,RR,17.0
1400472,RR,102.0
1400506,RR,89.25
1400605,RR,153.0
3524808,SP,68.0
