,cod_ibge,qnt_produzida,uf
589,2517209,12,PB
590,2500205,8,PB
591,2504207,12,PB
592,2504801,2,PB
593,2505907,15,PB
594,2502607,27,PB
595,2510204,90,PB
596,2510402,48,PB
597,2511301,4,PB
598,2513604,94,PB
599,2502102,33,PB
600,2505303,12,PB
601,2505600,48,PB
602,2506608,38,PB
603,2507002,90,PB
604,2511004,133,PB
605,2513356,12,PB
606,2513505,15,PB
607,2514305,7,PB
608,2515708,8,PB
609,2500106,1,PB
610,2508000,12,PB
611,2516607,7,PB
612,2517100,2,PB
613,2516003,11,PB
614,2501500,5,PB
615,2515906,10,PB
616,2500502,6,PB
617,4119707,12225,PR
618,4121000,46500,PR
619,4123303,16317,PR
620,4123709,23988,PR
621,4123956,20250,PR
622,4127304,1820,PR
623,4107256,5104,PR
624,4109906,2400,PR
625,4111555,7670,PR
626,4105607,722,PR
627,4102505,5,PR
628,4104303,105,PR
629,4122503,17,PR
630,4114104,18,PR
631,4107900,6,PR
632,4101408,14,PR
633,4103503,5,PR
634,4103800,9,PR
635,4114906,9,PR
636,4113700,150,PR
637,4126678,242,PR
638,4103305,2,PR
639,4107603,5,PR
640,4115507,5,PR
641,4122107,6,PR
642,4101655,2,PR
643,4101853,2,PR
644,4104402,43,PR
645,4108551,4,PR
646,4108700,42,PR
647,4111506,17,PR
648,4112504,6,PR
649,4113759,2,PR
650,4114500,4,PR
651,4117271,2,PR
652,4122172,5,PR
653,4122651,2,PR
654,4125001,2,PR
655,4125803,20,PR
656,4101903,6,PR
657,4117214,2,PR
658,4123204,9,PR
659,4124707,42,PR
660,4100103,46,PR
661,4101101,166,PR
662,4102406,65,PR
663,4106001,35,PR
664,4113403,9,PR
665,4116604,6,PR
666,4117008,11,PR
667,4121901,43,PR
668,4123907,121,PR
669,4102703,5,PR
670,4103602,820,PR
671,4111803,36,PR
672,4112900,84,PR
673,4121802,42,PR
674,4124103,64,PR
675,4106100,80,PR
676,4107009,75,PR
677,4107751,53,PR
678,4109708,119,PR
679,4111704,60,PR
680,4112306,83,PR
681,4119202,30,PR
682,4126207,40,PR
683,4104709,49,PR
684,4109005,48,PR
685,4112801,57,PR
686,4120705,72,PR
687,4122909,66,PR
688,4124004,40,PR
689,4125407,104,PR
690,4126603,220,PR
691,4127809,90,PR
692,4128500,80,PR
693,4110078,2,PR
694,4117305,180,PR
695,4121703,17,PR
696,4127502,9,PR
697,4128534,9,PR
698,4101606,11,PR
699,4112009,10,PR
700,4119400,20,PR
701,4126306,5,PR
702,4104659,2,PR
703,4104907,14,PR
704,4117701,15,PR
705,4119905,7,PR
706,4107157,9,PR
707,4112751,25,PR
708,4125753,20,PR
709,4101051,10,PR
710,4103057,10,PR
711,4103354,3,PR
712,4104055,60,PR
713,4104808,6,PR
714,4105003,35,PR
715,4107124,7,PR
716,4109302,10,PR
717,4109757,10,PR
718,4110052,2,PR
719,4113452,5,PR
720,4123824,10,PR
721,4124020,40,PR
722,4124053,34,PR
723,4125704,101,PR
724,4101002,1,PR
725,4102752,1,PR
726,4104501,1,PR
727,4119004,1,PR
728,4119806,1,PR
729,4120358,1,PR
730,4121406,1,PR
731,4123808,1,PR
732,4102604,1,PR
733,4103024,1,PR
734,4103156,1,PR
735,4106571,1,PR
736,4107207,1,PR
737,4107405,1,PR
738,4107850,1,PR
739,4108403,1,PR
740,4114351,1,PR
741,4115408,1,PR
742,4116950,1,PR
743,4117255,1,PR
744,4119251,1,PR
745,4121604,1,PR
746,4122800,1,PR
747,4123006,1,PR
748,4124400,1,PR
749,4125209,1,PR
750,4128609,1,PR
751,4105409,9,PR
752,4106506,4,PR
753,4118501,2,PR
754,4126272,6,PR
755,4126652,5,PR
756,4103040,30,PR
757,4113254,3,PR
758,4115739,13,PR
759,4119608,43,PR
760,4123857,10,PR
761,4104428,5,PR
762,4104451,16,PR
763,4107546,4,PR
764,4108452,12,PR
765,4108650,12,PR
766,4109401,23,PR
767,4110201,10,PR
768,4113304,12,PR
769,4115457,5,PR
770,4117057,8,PR
771,4119301,127,PR
772,4120150,4,PR
773,4120903,21,PR
774,4121752,12,PR
775,4122156,43,PR
776,4127965,12,PR
777,4128658,5,PR
778,4105706,3,PR
779,4106456,10,PR
780,4107736,11,PR
781,4108957,14,PR
782,4110102,11,PR
783,4110508,3,PR
784,4111407,53,PR
785,4120606,276,PR
786,4127007,137,PR
787,4110706,220,PR
788,4113908,50,PR
789,4121505,22,PR
790,4122008,150,PR
791,4102901,30,PR
792,4106803,70,PR
793,4108502,30,PR
794,4118600,50,PR
795,4118709,30,PR
796,4120309,40,PR
797,4128203,30,PR
798,4101309,30,PR
799,4125100,6,PR
800,4125605,38,PR
801,4100202,18,PR
802,4128633,40,PR
803,4113205,5,PR
804,4120101,3,PR
805,4104204,3,PR
806,4106209,4,PR
807,4101200,893,PR
808,4109500,2702,PR
809,4109609,3692,PR
810,4115705,224,PR
811,4116208,904,PR
812,4118204,702,PR
813,4119954,450,PR
814,4100301,5,PR
815,4104105,4,PR
816,4119103,4,PR
817,4121208,5,PR
818,4122305,5,PR
819,4127601,5,PR
820,2613909,12,PE
821,2603009,5760,PE
822,2201200,2150,PI
823,2201507,842,PI
824,2201770,110,PI
825,2201960,30,PI
826,2202059,550,PI
827,2202174,490,PI
828,2203701,1615,PI
829,2205409,436,PI
830,2205458,80,PI
831,2205805,810,PI
832,2205854,208,PI
833,2206100,532,PI
834,2206209,8916,PI
835,2206670,266,PI
836,2206803,440,PI
837,2208403,508,PI
838,2208502,703,PI
839,2209971,187,PI
840,2202000,10673,PI
841,2202539,261,PI
842,2202653,734,PI
843,2202703,684,PI
844,2204659,1616,PI
845,2205706,6,PI
846,2206696,622,PI
847,2207702,312,PI
848,2208304,268,PI
849,2210052,248,PI
850,2200400,76,PI
851,2201606,172,PI
852,2202737,160,PI
853,2203255,180,PI
854,2203305,56,PI
855,2205508,528,PI
856,2205557,170,PI
857,2205581,200,PI
858,2206308,71,PI
859,2206407,339,PI
860,2206720,37,PI
861,2207793,58,PI
862,2211001,986,PI
863,2211100,1008,PI
864,2200301,497,PI
865,2201945,130,PI
866,2202208,78,PI
867,2202406,400,PI
868,2202604,41,PI
869,2202711,62,PI
870,2203420,17,PI
871,2205276,37,PI
872,2205516,3,PI
873,2205573,136,PI
874,2206357,36,PI
875,2206753,20,PI
876,2206951,15,PI
877,2207900,53,PI
878,2209906,84,PI
879,2210409,56,PI
880,2210656,15,PI
881,2200103,436,PI
882,2200202,77,PI
883,2200509,1308,PI
884,2200608,167,PI
885,2201002,425,PI
886,2201408,198,PI
887,2204105,1350,PI
888,2204600,398,PI
889,2205250,374,PI
890,2205540,55,PI
891,2207108,113,PI
892,2207504,2686,PI
893,2207751,244,PI
894,2208809,883,PI
895,2209450,46,PI
896,2209807,111,PI
897,2210508,1283,PI
898,2200905,179,PI
899,2201176,147,PI
900,2203503,610,PI
901,2204006,319,PI
902,2204709,3,PI
903,2205599,2,PI
904,2206902,125,PI
905,2208106,116,PI
906,2208601,33,PI
907,2209153,133,PI
908,2209609,59,PI
909,2210383,123,PI
910,2211308,35,PI
911,2211407,208,PI
912,2201150,7664,PI
913,2208908,822,PI
914,2209203,4387,PI
915,2211209,6542,PI
916,2200806,26,PI
917,2201705,54,PI
918,2202752,6,PI
919,2203602,7,PI
920,2205607,380,PI
921,2205904,84,PI
922,2206001,135,PI
923,2208551,40,PI
924,2210631,403,PI
925,2202251,144,PI
926,2203800,71,PI
927,2203909,5,PI
928,2204501,28,PI
929,2205102,441,PI
930,2205300,19,PI
931,2206704,72,PI
932,2207850,48,PI
933,2209005,21,PI
934,2209708,12,PI
935,2210102,90,PI
936,2200459,30,PI
937,2201309,35,PI
938,2201903,8945,PI
939,2203107,4,PI
940,2203230,6507,PI
941,2204402,5291,PI
942,2206605,963,PI
943,2207405,10,PI
944,2208700,45,PI
945,2209302,9,PI
946,2209757,19,PI
947,2207355,9,PI
948,2210953,2,PI
949,2202901,920,PI
950,2203008,10,PI
951,2203206,5,PI
952,2207603,20,PI
953,2208858,37,PI
954,2210623,20,PI
955,2201804,18,PI
956,2202075,54,PI
957,2202778,7,PI
958,2204352,5,PI
959,2207009,144,PI
960,2208007,100,PI
961,2209377,58,PI
962,2209856,12,PI
963,2209955,2,PI
964,2210201,2,PI
965,2210375,50,PI
966,2210979,57,PI
967,2211704,1,PI
968,2201556,5,PI
969,2207959,1,PI
970,2208874,17,PI
971,2209658,2,PI
972,2210805,2,PI
973,2210904,5,PI
974,3302056,71,RJ
975,3302205,36,RJ
976,3300902,18,RJ
977,3302403,625,RJ
978,3301108,33,RJ
979,3305604,2,RJ
980,2703205,14546,AL
981,2706703,742,AL
982,2706802,48,AL
983,2707503,9100,AL
984,2401008,2757,RN
985,2403707,268,RN
986,2403202,2,RN
987,2403301,5,RN
988,2407005,6,RN
989,2407252,8,RN
990,2400505,5,RN
991,2406007,14,RN
992,2408607,10,RN
993,2409407,3,RN
994,2410009,2,RN
995,2410702,3,RN
996,2411007,61,RN
997,2411908,7,RN
998,2413805,3,RN
999,2414100,3,RN
1000,2400604,8,RN
1001,2404002,7,RN
1002,2406908,24,RN
1003,2407401,3,RN
1004,2410603,15,RN
1005,2412104,14,RN
1006,2413409,4,RN
