cod_ibge,qnt_produzida,uf
3167301,27,MG
3167905,160,MG
3169000,675,MG
3169901,90,MG
3172004,420,MG
3103306,180,MG
3106101,240,MG
3106804,235,MG
3106903,68,MG
3115904,18,MG
3116209,15,MG
3119609,26,MG
3121308,162,MG
3125002,18,MG
3127388,35,MG
3128501,59,MG
3136702,612,MG
3138609,972,MG
3139805,420,MG
3140209,51,MG
3140803,30,MG
3145406,66,MG
3145703,106,MG
3146602,112,MG
3149408,75,MG
3149507,44,MG
3150109,33,MG
3155405,66,MG
3155900,54,MG
3156205,9,MG
3157278,160,MG
3159407,1260,MG
3159308,875,MG
3158607,36,MG
3160702,408,MG
3162906,240,MG
3167509,60,MG
3101508,60,MG
3104403,42,MG
3115300,175,MG
3122900,25,MG
3124609,160,MG
3132602,54,MG
3138005,200,MG
3138401,432,MG
3146701,117,MG
3151107,246,MG
3154101,63,MG
3158409,70,MG
3160009,75,MG
3172103,6,MG
5101407,23830,MT
5101902,668826,MT
5102850,356,MT
5103254,10574,MT
5103379,4810,MT
5105150,36480,MT
5105176,8910,MT
5107578,120,MT
5100250,52901,MT
5100805,2040,MT
5102793,31992,MT
5106158,1680,MT
5108956,9099,MT
5106299,28800,MT
5103205,46377,MT
5104104,46992,MT
5105606,175000,MT
5106216,103156,MT
5108808,24000,MT
5106265,105600,MT
5106422,72000,MT
5108055,88200,MT
5102637,1471213,MT
5102686,1153072,MT
5103304,215894,MT
5103502,1458095,MT
5107875,990069,MT
5105101,84460,MT
5108907,450000,MT
5106273,5400,MT
5106802,648000,MT
5107305,302400,MT
5107941,580800,MT
5104526,784575,MT
5104542,225000,MT
5105259,897600,MT
5105903,109307,MT
5106224,1510080,MT
5106240,1645830,MT
5107768,427500,MT
5107925,3082320,MT
5108006,472500,MT
5103056,322080,MT
5103700,393600,MT
5104559,130200,MT
5105580,129000,MT
5106190,75600,MT
5107248,507300,MT
5107909,656880,MT
5108303,173400,MT
5108501,665280,MT
5103858,584250,MT
5106208,13500,MT
5106307,453960,MT
5106455,26454,MT
5100359,86070,MT
5101852,262419,MT
5102694,60474,MT
5103353,114000,MT
5105309,114,MT
5106315,4215,MT
5106778,196000,MT
5107180,151200,MT
5107743,126000,MT
5107776,72000,MT
5107859,658522,MT
5107354,420000,MT
5107883,1260,MT
5108600,150000,MT
5100201,216600,MT
5102603,40500,MT
5102702,590000,MT
5106174,13500,MT
5106257,27000,MT
5106281,186000,MT
5107065,1368000,MT
5107792,390600,MT
5101001,2954,MT
5101803,15300,MT
5103106,10200,MT
5103361,17673,MT
5106182,46275,MT
5106752,64050,MT
5108352,660,MT
5105507,85979,MT
5101704,3760,MT
5103452,2575,MT
5106232,32,MT
5106851,1750,MT
5107958,365679,MT
5101258,15600,MT
5103809,720,MT
5103957,558,MT
5104500,942,MT
5105002,396,MT
5105234,1948,MT
5105622,469,MT
5106828,1760,MT
5107156,41,MT
5107206,1350,MT
5107750,4884,MT
5107107,2100,MT
5100508,21600,MT
5101308,10800,MT
5106000,102021,MT
5108857,7541,MT
5107263,42660,MT
5104906,3188,MT
5107701,29070,MT
5103007,120800,MT
5106109,2020,MT
5107800,69520,MT
5108402,150,MT
5102504,14312,MT
5103437,65,MT
5106505,1670,MT
5102678,541320,MT
5107040,837000,MT
5101209,1800,MT
5103908,135000,MT
5104203,146100,MT
5106653,1275,MT
5107008,162000,MT
5107198,120590,MT
5108105,69060,MT
5108204,15600,MT
5103601,91800,MT
5104609,518400,MT
5104807,84600,MT
5105200,67680,MT
5106372,143750,MT
5107602,172400,MT
5107297,450,MT
5107404,7722,MT
5100300,67200,MT
5100409,216250,MT
5100607,256400,MT
5003207,9936,MS
5006903,4200,MS
5000708,16502,MS
5001102,150,MS
5003488,30446,MS
5005608,2732,MS
5000252,45880,MS
5002605,13000,MS
5003306,34992,MS
5006408,19092,MS
5007406,17700,MS
5007695,354720,MS
5007935,137802,MS
5001508,54752,MS
5002704,126000,MS
5004908,18750,MS
5007307,6766,MS
5007505,6703,MS
5007901,564320,MS
5008008,18000,MS
5002902,37620,MS
5002951,185545,MS
5003256,314100,MS
5006275,32364,MS
5004403,370,MS
5006309,12863,MS
5007802,281,MS
5000203,1104,MS
5002308,4722,MS
5007109,9373,MS
5007554,740,MS
5000807,8262,MS
5001904,9196,MS
5002001,4500,MS
5006200,5450,MS
5007976,378,MS
5002100,17550,MS
5002159,5474,MS
5002209,44586,MS
5002803,300,MS
5004106,27360,MS
5005004,19890,MS
5005806,11349,MS
5000609,201500,MS
5000906,56700,MS
5001243,210000,MS
5002407,194304,MS
5003504,23580,MS
5003702,406080,MS
5003801,16200,MS
5004502,195426,MS
5005152,31216,MS
5005251,199680,MS
5005400,780000,MS
5006002,66440,MS
5006606,158580,MS
5007208,148500,MS
