cod_ibge,qnt_produzida,uf
4117107,700,PR
4118006,13800,PR
4118105,6400,PR
4118303,7776,PR
4118402,960,PR
4119707,1500,PR
4120200,450,PR
4121000,35560,PR
4123303,19500,PR
4123709,12000,PR
4123956,9723,PR
4124202,453,PR
4124608,14850,PR
4125902,1523,PR
4126702,900,PR
4127304,1506,PR
4128625,1775,PR
4100707,97500,PR
4100509,16500,PR
4103370,68400,PR
4103479,34200,PR
4106605,15600,PR
4107256,4800,PR
4107520,400,PR
4108320,62700,PR
4109906,1432,PR
4110607,77100,PR
4111555,2160,PR
4114708,1190,PR
4115101,52725,PR
4117206,715,PR
4118857,42889,PR
4118907,2220,PR
4125357,750,PR
4126900,4615,PR
4128104,9531,PR
4128807,1368,PR
4105508,26400,PR
4105607,2134,PR
4109104,4069,PR
4110409,4160,PR
4112405,23530,PR
4113007,30810,PR
4122602,1560,PR
4125555,3510,PR
4126108,5980,PR
4127908,27300,PR
4100459,6290,PR
4103008,90720,PR
4103909,120050,PR
4108601,104000,PR
4112207,75250,PR
4112959,99000,PR
4116109,40300,PR
4116802,98000,PR
4120655,108800,PR
4121356,72865,PR
4128005,183600,PR
4101705,84800,PR
4102505,54000,PR
4104303,195000,PR
4106555,9600,PR
4107504,108800,PR
4107553,78688,PR
4107702,51000,PR
4110805,44800,PR
4113734,176786,PR
4114005,198360,PR
4118808,104710,PR
4121109,71680,PR
4122503,136800,PR
4127205,31200,PR
4101150,20275,PR
4102109,77733,PR
4102208,16350,PR
4103404,10231,PR
4105102,33800,PR
4105904,5301,PR
4108106,9941,PR
4109203,11275,PR
4110003,25650,PR
4110904,2790,PR
4111902,36510,PR
4113601,17280,PR
4113809,15600,PR
4114104,35226,PR
4116307,16818,PR
4116406,5400,PR
4116901,14100,PR
4120408,6557,PR
4123402,25800,PR
4123600,3000,PR
4124509,11661,PR
4128302,9534,PR
4100806,58162,PR
4102802,52700,PR
4108007,23781,PR
4116000,1661,PR
4120002,9100,PR
4120333,27446,PR
4120507,66690,PR
4126504,92070,PR
4107306,28386,PR
4107801,33020,PR
4107900,38400,PR
4111100,51945,PR
4111605,26829,PR
4117404,42305,PR
4125308,88876,PR
4114203,23520,PR
4114807,86639,PR
4115200,79625,PR
4117503,32000,PR
4126256,21688,PR
4101408,80850,PR
4101507,81375,PR
4103503,26600,PR
4103800,25550,PR
4112108,13940,PR
4114906,78660,PR
4115754,14800,PR
4117297,12950,PR
4122701,32375,PR
4103701,132060,PR
4109807,54145,PR
4113700,207700,PR
4119657,24800,PR
4122404,94865,PR
4126678,68816,PR
4103206,18200,PR
4103305,38544,PR
4106852,27196,PR
4107603,39750,PR
4113106,33920,PR
4115507,12870,PR
4122107,24960,PR
4101655,40644,PR
4101853,42380,PR
4104402,74580,PR
4108551,12996,PR
4108700,8920,PR
4111506,63258,PR
4112504,32764,PR
4113429,19140,PR
4113759,25365,PR
4114500,99324,PR
4117271,34840,PR
4122172,16500,PR
4122651,12800,PR
4125001,58968,PR
4125803,45000,PR
4101903,90450,PR
4112702,27470,PR
4117214,16178,PR
